Person1,Person2,relationships
杨冬,叶文雪,764820
杨冬,杨卫宁,14149170
杨冬,7,1529640
杨冬,威尔逊,191205
杨冬,孔子,573615
杨冬,牛顿,5736150
杨冬,秦始皇,6883380
杨冬,拉菲尔,191205
杨冬,大凤,1720845
杨冬,唐红静,191205
杨冬,智子,15678810
杨冬,罗辑,764820
丁仪,史强,9374508
丁仪,常伟思,8522280
丁仪,杨冬,9942660
丁仪,申玉菲,13067496
丁仪,爱因斯坦,5113368
丁仪,A,1136304
丁仪,豆豆,852228
丁仪,魏成,8522280
丁仪,潘寒,13351572
丁仪,李瑶,568152
丁仪,周文王,13351572
丁仪,纣王,6817824
丁仪,伏羲,1988532
丁仪,沙瑞山,6533748
丁仪,叶哲泰,7385976
丁仪,绍琳,5681520
丁仪,白沐霖,8238204
丁仪,马钢,1420380
丁仪,程丽华,2556684
丁仪,叶文雪,1136304
丁仪,杨卫宁,21021624
丁仪,7,2272608
丁仪,威尔逊,284076
丁仪,孔子,852228
丁仪,牛顿,8522280
丁仪,秦始皇,10226736
丁仪,拉菲尔,284076
丁仪,大凤,2556684
丁仪,唐红静,284076
丁仪,智子,23294232
丁仪,罗辑,1136304
申玉菲,史强,8292834
申玉菲,常伟思,7538940
申玉菲,杨冬,8795430
申玉菲,丁仪,13067496
申玉菲,爱因斯坦,4523364
申玉菲,A,1005192
申玉菲,豆豆,753894
申玉菲,魏成,7538940
申玉菲,潘寒,11811006
申玉菲,李瑶,502596
申玉菲,周文王,11811006
申玉菲,纣王,6031152
申玉菲,伏羲,1759086
申玉菲,沙瑞山,5779854
申玉菲,叶哲泰,6533748
申玉菲,绍琳,5025960
申玉菲,白沐霖,7287642
申玉菲,马钢,1256490
申玉菲,程丽华,2261682
申玉菲,叶文雪,1005192
申玉菲,杨卫宁,18596052
申玉菲,7,2010384
申玉菲,威尔逊,251298
申玉菲,孔子,753894
申玉菲,牛顿,7538940
申玉菲,秦始皇,9046728
申玉菲,拉菲尔,251298
申玉菲,大凤,2261682
申玉菲,唐红静,251298
申玉菲,智子,20606436
申玉菲,罗辑,1005192
爱因斯坦,史强,3245022
爱因斯坦,常伟思,2950020
爱因斯坦,杨冬,3441690
爱因斯坦,丁仪,5113368
爱因斯坦,申玉菲,4523364
爱因斯坦,A,393336
爱因斯坦,豆豆,295002
爱因斯坦,魏成,2950020
爱因斯坦,潘寒,4621698
爱因斯坦,李瑶,196668
爱因斯坦,周文王,4621698
爱因斯坦,纣王,2360016
爱因斯坦,伏羲,688338
爱因斯坦,沙瑞山,2261682
爱因斯坦,叶哲泰,2556684
爱因斯坦,绍琳,1966680
爱因斯坦,白沐霖,2851686
爱因斯坦,马钢,491670
爱因斯坦,程丽华,885006
爱因斯坦,叶文雪,393336
爱因斯坦,杨卫宁,7276716
爱因斯坦,7,786672
爱因斯坦,威尔逊,98334
爱因斯坦,孔子,295002
爱因斯坦,牛顿,2950020
爱因斯坦,秦始皇,3540024
爱因斯坦,拉菲尔,98334
爱因斯坦,大凤,885006
爱因斯坦,唐红静,98334
爱因斯坦,智子,8063388
爱因斯坦,罗辑,393336
A,史强,721116
A,常伟思,655560
A,杨冬,764820
A,丁仪,1136304
A,申玉菲,1005192
A,爱因斯坦,393336
A,豆豆,65556
A,魏成,655560
A,潘寒,1027044
A,李瑶,43704
A,周文王,1027044
A,纣王,524448
A,伏羲,152964
A,沙瑞山,502596
A,叶哲泰,568152
A,绍琳,437040
A,白沐霖,633708
A,马钢,109260
A,程丽华,196668
A,叶文雪,87408
A,杨卫宁,1617048
A,7,174816
A,威尔逊,21852
A,孔子,65556
A,牛顿,655560
A,秦始皇,786672
A,拉菲尔,21852
A,大凤,196668
A,唐红静,21852
A,智子,1791864
A,罗辑,87408
豆豆,史强,540837
豆豆,常伟思,491670
豆豆,杨冬,573615
豆豆,丁仪,852228
豆豆,申玉菲,753894
豆豆,爱因斯坦,295002
豆豆,A,65556
豆豆,魏成,491670
豆豆,潘寒,770283
豆豆,李瑶,32778
豆豆,周文王,770283
豆豆,纣王,393336
豆豆,伏羲,114723
豆豆,沙瑞山,376947
